,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
32493,32494,0.32,Ideal,H,IF,61.6,56.0,796,4.4,4.43,2.72
4886,4887,0.75,Very Good,E,VS2,63.0,57.0,3718,5.81,5.78,3.65
45898,45899,0.52,Premium,D,SI1,61.4,58.0,1720,5.19,5.16,3.18
11122,11123,1.24,Ideal,I,SI2,60.7,57.0,4937,6.98,6.92,4.22
33760,33761,0.4,Premium,G,SI1,59.6,61.0,840,4.76,4.74,2.83
4310,4311,0.93,Premium,G,SI2,60.8,59.0,3594,6.35,6.28,3.84
32007,32008,0.37,Ideal,E,SI1,61.4,56.0,777,4.65,4.6,2.84
44022,44023,0.51,Ideal,E,SI1,62.8,56.0,1546,5.15,5.07,3.21
28382,28383,0.33,Very Good,I,VS1,63.1,56.0,668,4.4,4.38,2.77
250,251,0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22
48420,48421,0.7,Ideal,J,VS2,61.5,57.0,1971,5.7,5.74,3.52
27739,27740,2.8,Good,G,SI2,63.8,58.0,18788,8.9,8.85,0.0
18393,18394,1.42,Ideal,H,SI2,62.2,56.0,7475,7.21,7.16,4.47
16401,16402,1.2,Premium,H,VS2,60.6,58.0,6547,6.82,6.88,4.15
21619,21620,1.12,Ideal,E,VS2,61.9,56.0,9710,6.65,6.68,4.13
20279,20280,1.2,Ideal,G,VS1,62.0,57.0,8701,6.81,6.78,4.21
38408,38409,0.35,Ideal,G,VVS2,62.1,56.0,1024,4.51,4.47,2.79
46099,46100,0.51,Very Good,G,VS1,59.6,58.0,1741,5.21,5.22,3.11
38750,38751,0.35,Ideal,E,VVS1,60.7,57.0,1044,4.53,4.57,2.76
47711,47712,0.51,Ideal,D,SI1,60.7,56.0,1884,5.18,5.2,3.15
3663,3664,0.76,Ideal,D,VS2,61.2,57.0,3443,5.89,5.91,3.61
33601,33602,0.31,Very Good,G,SI1,63.0,56.0,462,4.3,4.34,2.72
21048,21049,0.31,Ideal,G,VS1,62.4,55.0,625,4.33,4.35,2.71
22353,22354,0.31,Premium,H,VS2,60.0,60.0,628,4.43,4.4,2.65
9669,9670,1.02,Ideal,E,SI2,62.0,59.0,4645,6.43,6.4,3.98
36182,36183,0.41,Premium,E,SI1,61.0,61.0,930,4.77,4.74,2.9
24858,24859,2.02,Premium,F,SI2,61.3,58.0,13267,8.09,8.05,4.95
31614,31615,0.32,Ideal,I,SI2,61.7,55.0,371,4.39,4.42,2.72
4577,4578,0.9,Very Good,G,SI1,63.5,59.0,3649,6.07,6.11,3.87
42584,42585,0.45,Ideal,D,VS1,62.3,56.0,1330,4.88,4.91,3.05
27808,27809,0.3,Ideal,H,VVS1,61.5,55.0,650,4.31,4.35,2.66
51770,51771,0.73,Very Good,E,SI2,63.3,57.0,2409,5.72,5.69,3.61
12947,12948,1.11,Ideal,H,SI1,62.7,56.0,5386,6.65,6.59,4.15
9169,9170,0.9,Very Good,G,VS2,62.7,59.0,4543,6.09,6.16,3.84
20091,20092,1.5,Premium,J,VVS1,62.3,62.0,8568,7.23,7.16,4.48
5648,5649,1.0,Good,E,SI2,63.3,56.0,3880,6.3,6.36,4.01
38289,38290,0.28,Very Good,E,VS1,60.2,58.0,487,4.23,4.27,2.56
53222,53223,0.74,Very Good,E,VS2,61.4,63.0,2638,5.79,5.77,3.55
15069,15070,1.02,Good,G,VS2,63.2,57.0,6058,6.38,6.41,4.04
38430,38431,0.38,Premium,F,VS2,60.5,59.0,1026,4.72,4.67,2.84
11088,11089,1.15,Ideal,G,SI2,62.3,56.0,4927,6.75,6.67,4.18
11874,11875,1.5,Good,J,SI2,63.7,58.0,5107,7.19,7.13,4.56
13542,13543,1.14,Premium,G,SI1,62.3,59.0,5548,6.66,6.69,4.16
28091,28092,0.38,Ideal,E,SI2,62.2,56.0,663,4.64,4.66,2.89
46147,46148,0.5,Premium,G,VS1,60.7,60.0,1746,5.12,5.09,3.1
8570,8571,1.1,Premium,I,SI1,62.7,58.0,4435,6.58,6.54,4.11
29026,29027,0.31,Ideal,H,VVS1,61.6,55.0,687,4.37,4.4,2.7
19256,19257,1.39,Premium,H,SI1,62.7,58.0,7986,7.15,7.08,4.46
24492,24493,2.05,Premium,I,VS1,60.3,59.0,12766,8.25,8.21,4.96
12038,12039,0.34,Very Good,E,SI1,62.9,55.0,596,4.47,4.5,2.82
24354,24355,2.01,Premium,I,SI1,61.0,60.0,12617,8.16,8.11,4.96
12177,12178,1.2,Very Good,G,SI2,62.1,56.0,5183,6.79,6.87,4.24
1543,1544,0.6,Ideal,G,VVS1,62.1,56.0,3001,5.42,5.43,3.37
34875,34876,0.3,Very Good,G,VVS2,63.3,57.0,878,4.27,4.23,2.69
20561,20562,1.55,Very Good,G,SI2,61.9,60.0,8873,7.31,7.36,4.54
25139,25140,2.22,Premium,J,SI2,61.8,58.0,13703,8.42,8.31,5.17
13870,13871,1.11,Ideal,D,SI2,61.6,55.0,5648,6.66,6.62,4.09
11099,11100,1.27,Ideal,J,SI2,61.2,55.7,4931,6.95,6.99,4.27
26364,26365,0.32,Very Good,G,VS1,63.0,55.0,645,4.35,4.38,2.75
105,106,0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63
26354,26355,0.32,Premium,F,VS2,61.3,60.0,645,4.37,4.4,2.69
53207,53208,0.61,Ideal,F,VVS2,62.2,55.0,2634,5.42,5.45,3.38
48624,48625,0.7,Ideal,J,VS1,62.8,56.0,2000,5.64,5.66,3.55
29674,29675,0.31,Very Good,E,VVS2,60.5,56.0,707,4.39,4.47,2.68
18050,18051,0.35,Ideal,G,VS2,62.5,53.0,615,4.53,4.56,2.84
13928,13929,1.1,Very Good,F,SI1,60.5,60.0,5667,6.65,6.67,4.03
23047,23048,1.63,Ideal,H,SI1,61.9,57.0,11078,7.59,7.53,4.68
43077,43078,0.6,Good,I,VS1,60.1,62.0,1378,5.42,5.49,3.28
6524,6525,0.91,Good,F,SI1,58.0,57.0,4067,6.36,6.47,3.72
3197,3198,0.91,Good,G,SI1,64.3,60.0,3344,6.04,6.12,3.91
1130,1131,0.73,Ideal,G,VVS2,61.9,55.0,2919,5.83,5.77,3.59
3644,3645,0.9,Very Good,H,SI1,62.8,57.0,3437,6.14,6.18,3.87
32630,32631,0.23,Good,E,VVS1,60.6,65.0,458,3.95,3.97,2.4
32041,32042,0.31,Ideal,D,VVS2,61.9,56.0,779,4.32,4.37,2.69
39097,39098,0.41,Premium,I,VVS2,62.9,58.0,1061,4.74,4.71,2.97
17753,17754,1.13,Ideal,G,VS2,61.9,56.0,7147,6.68,6.71,4.14
19796,19797,1.74,Premium,J,VS2,61.9,62.0,8364,7.62,7.54,4.7
17811,17812,1.01,Very Good,G,VS1,60.9,55.0,7179,6.46,6.51,3.95
39234,39235,0.32,Ideal,D,VVS1,61.8,56.0,1067,4.39,4.41,2.72
6231,6232,1.01,Good,D,SI2,64.0,59.0,4004,6.34,6.28,4.04
37828,37829,0.33,Ideal,E,VS1,60.6,57.0,1002,4.54,4.5,2.74
34252,34253,0.4,Ideal,H,SI1,62.9,56.0,855,4.7,4.65,2.94
11666,11667,1.01,Good,I,VS1,59.0,63.5,5056,6.5,6.57,3.86
47406,47407,0.54,Ideal,F,VS1,60.7,59.0,1849,5.27,5.3,3.21
2811,2812,0.7,Premium,E,VVS1,61.7,59.0,3265,5.67,5.71,3.51
15680,15681,1.01,Good,F,VS2,62.1,58.0,6288,6.28,6.35,3.92
19808,19809,1.01,Very Good,G,VVS1,61.8,59.0,8373,6.47,6.41,3.98
8326,8327,1.21,Premium,I,SI2,61.8,60.0,4391,6.86,6.76,4.21
22115,22116,1.1,Ideal,D,VS1,61.9,56.0,10144,6.58,6.61,4.09
29488,29489,0.32,Ideal,E,VS2,62.3,57.0,702,4.41,4.42,2.75
13468,13469,1.04,Ideal,E,SI2,62.3,55.0,5531,6.46,6.49,4.03
19822,19823,1.51,Premium,H,SI2,62.4,58.0,8388,7.36,7.31,4.58
38704,38705,0.37,Premium,E,VS2,61.8,59.0,1041,4.6,4.56,2.83
14026,14027,1.05,Ideal,D,SI2,62.1,58.0,5702,6.49,6.52,4.04
38837,38838,0.46,Very Good,G,VS1,62.8,57.0,1049,4.92,4.83,3.06
37441,37442,0.33,Ideal,G,IF,61.9,54.0,984,4.42,4.46,2.75
48971,48972,0.34,Ideal,I,VS1,62.4,55.0,537,4.47,4.51,2.8
32908,32909,0.33,Ideal,F,VVS2,61.3,56.0,810,4.44,4.46,2.73
45196,45197,0.51,Ideal,G,VS1,59.7,57.0,1656,5.2,5.25,3.12
18441,18442,1.11,Very Good,G,VS1,61.5,57.6,7503,6.66,6.7,4.11
38344,38345,0.32,Ideal,G,IF,62.4,55.0,1020,4.42,4.4,2.75
41697,41698,0.54,Premium,G,SI1,61.1,57.0,1241,5.27,5.21,3.2
19975,19976,1.23,Ideal,F,VS1,61.3,57.0,8523,6.86,6.93,4.23
39328,39329,0.34,Premium,G,VVS1,59.0,62.0,1071,4.6,4.56,2.7
25813,25814,2.16,Very Good,H,SI2,62.3,60.0,14824,8.19,8.31,5.14
39697,39698,0.42,Good,F,VS1,59.9,65.0,1088,4.83,4.89,2.91
32092,32093,0.33,Ideal,E,VS1,60.2,57.0,781,4.48,4.52,2.71
16936,16937,1.2,Ideal,G,SI1,61.8,59.0,6762,6.77,6.8,4.19
48872,48873,1.0,Fair,I,I1,64.5,58.0,2035,6.33,6.1,4.01
34428,34429,0.3,Ideal,G,IF,62.2,55.0,863,4.31,4.34,2.69
8144,8145,1.01,Premium,H,SI2,61.3,59.0,4355,6.47,6.41,3.95
20857,20858,1.01,Ideal,F,VS1,62.2,56.0,9077,6.4,6.46,4.0
37702,37703,0.51,Very Good,I,SI2,63.3,58.0,995,5.09,5.02,3.2
37221,37222,0.31,Ideal,F,VVS1,61.1,56.0,975,4.37,4.4,2.68
29251,29252,0.41,Very Good,G,SI1,62.4,56.0,698,4.75,4.77,2.97
5171,5172,0.71,Ideal,G,IF,61.8,57.0,3772,5.7,5.75,3.54
28585,28586,0.3,Good,G,VS2,63.9,55.0,675,4.28,4.27,2.73
5807,5808,0.9,Very Good,G,VS2,59.0,58.0,3910,6.25,6.29,3.7
6227,6228,1.02,Very Good,H,SI2,63.5,58.0,4004,6.34,6.38,4.04
2278,2279,0.8,Very Good,G,VS1,59.5,63.0,3158,6.11,6.05,3.61
41145,41146,0.5,Good,G,SI1,62.5,64.0,1197,4.93,4.99,3.1
38909,38910,0.33,Ideal,E,VVS1,60.9,56.0,1052,4.48,4.46,2.72
50934,50935,0.57,Ideal,E,VS2,61.3,57.0,2319,5.38,5.29,3.27
49386,49387,0.73,Premium,H,SI2,61.2,58.0,2102,5.84,5.8,3.56
37241,37242,0.5,Good,F,SI1,64.3,57.0,975,5.03,4.94,3.21
34434,34435,0.3,Ideal,G,IF,61.0,57.0,863,4.31,4.34,2.64
1246,1247,0.85,Good,G,SI1,64.9,56.0,2945,5.95,5.98,3.87
8531,8532,1.28,Ideal,G,I1,61.6,57.0,4428,6.93,6.96,4.28
29009,29010,0.34,Very Good,H,VVS2,63.0,55.0,686,4.44,4.48,2.81
40656,40657,0.5,Very Good,E,SI2,61.7,58.0,1154,5.06,5.12,3.14
41043,41044,0.41,Ideal,E,VVS2,61.4,57.0,1187,4.76,4.79,2.93
16208,16209,1.02,Premium,F,VS2,61.3,58.0,6479,6.42,6.54,3.97
23555,23556,1.51,Premium,E,SI1,62.6,55.0,11565,7.33,7.25,4.56
23803,23804,1.5,Very Good,D,SI1,63.1,57.0,11863,7.31,7.24,4.59
49484,49485,0.7,Fair,I,VS2,64.7,60.0,2117,5.55,5.49,3.57
25534,25535,1.66,Premium,D,SI1,62.0,59.0,14354,7.6,7.55,4.7
1262,1263,0.82,Good,H,VS2,62.4,54.0,2947,5.97,6.04,3.75
37756,37757,0.38,Premium,D,VS2,61.6,59.0,998,4.66,4.62,2.86
18981,18982,1.0,Premium,D,VS1,62.7,62.0,7812,6.23,6.21,3.9
49463,49464,0.72,Ideal,J,VS1,62.7,57.0,2112,5.74,5.71,3.59
43076,43077,0.44,Ideal,G,IF,61.3,55.0,1378,4.91,4.95,3.02
16611,16612,1.03,Ideal,H,VVS2,62.2,55.0,6638,6.43,6.49,4.03
5148,5149,0.85,Ideal,G,SI1,62.1,56.0,3766,6.05,6.1,3.77
39773,39774,0.5,Premium,F,SI2,62.2,54.0,1094,5.14,5.08,3.18
33883,33884,0.3,Ideal,E,VS2,62.4,57.0,844,4.33,4.29,2.69
7845,7846,0.93,Very Good,E,SI1,62.8,56.0,4304,6.19,6.24,3.9
40820,40821,0.51,Ideal,E,SI2,63.0,56.0,1170,5.14,5.12,3.23
40199,40200,0.52,Premium,G,SI2,59.2,60.0,1121,5.29,5.21,3.11
35804,35805,0.34,Ideal,D,VS1,60.3,57.0,914,4.52,4.55,2.73
12101,12102,1.09,Very Good,E,SI2,62.2,58.0,5165,6.54,6.61,4.09
16388,16389,1.03,Good,F,VS2,63.9,59.0,6543,6.35,6.38,4.07
49230,49231,0.51,Ideal,F,VVS2,62.2,57.0,2083,5.12,5.17,3.2
38107,38108,0.36,Premium,E,VS2,61.8,58.0,1013,4.57,4.52,2.81
40838,40839,0.5,Premium,H,SI1,62.9,58.0,1172,5.04,5.01,3.16
39575,39576,0.42,Ideal,I,VS2,61.4,56.0,1081,4.83,4.85,2.97
9594,9595,0.81,Ideal,F,VVS2,62.3,54.0,4630,5.94,6.01,3.72
50857,50858,0.72,Ideal,I,VS2,61.6,55.0,2312,5.76,5.78,3.55
28032,28033,0.3,Very Good,E,VS2,62.8,56.0,658,4.28,4.32,2.7
37340,37341,0.41,Good,E,VS2,63.1,64.0,981,4.66,4.63,2.93
46006,46007,0.57,Very Good,H,VVS2,60.2,56.0,1726,5.41,5.44,3.27
47343,47344,0.5,Premium,D,VS2,61.4,59.0,1845,5.15,5.11,3.15
43545,43546,0.51,Ideal,H,VS2,60.1,60.0,1428,5.19,5.14,3.1
26083,26084,1.54,Premium,E,VS2,62.7,58.0,15316,7.37,7.33,4.61
27033,27034,0.32,Ideal,F,VS2,62.5,56.0,645,4.37,4.43,2.75
34300,34301,0.3,Very Good,F,VVS1,58.1,61.0,858,4.39,4.42,2.56
38793,38794,0.31,Ideal,G,VVS1,61.7,57.0,1046,4.38,4.34,2.69
34831,34832,0.3,Very Good,H,VVS1,63.3,60.0,878,4.25,4.22,2.68
4059,4060,0.32,Ideal,G,SI1,62.6,55.0,571,4.41,4.38,2.75
31698,31699,0.36,Ideal,F,SI1,61.5,56.0,770,4.62,4.59,2.83
4296,4297,0.73,Ideal,G,VS1,61.2,56.0,3589,5.82,5.85,3.57
33965,33966,0.34,Ideal,F,VVS2,62.0,54.2,846,4.47,4.49,2.78
39340,39341,0.37,Ideal,G,VVS2,60.7,55.0,1073,4.66,4.7,2.84
41641,41642,0.4,Ideal,E,VVS2,61.8,56.0,1238,4.77,4.74,2.94
18894,18895,1.14,Ideal,G,VS1,60.9,57.0,7750,6.7,6.82,4.12
6861,6862,0.81,Ideal,G,VVS2,61.7,55.1,4127,5.97,6.04,3.71
46063,46064,0.7,Premium,J,SI1,61.3,59.0,1735,5.73,5.75,3.52
34886,34887,0.32,Ideal,E,VVS1,61.7,55.0,879,4.38,4.41,2.71
32054,32055,0.3,Good,F,IF,64.3,53.0,780,4.22,4.27,2.73
2937,2938,0.77,Premium,D,VS2,61.8,58.0,3291,5.84,5.81,3.6
10283,10284,1.11,Premium,G,SI2,61.2,59.0,4755,6.74,6.66,4.1
32728,32729,0.31,Premium,F,VS2,62.0,60.0,802,4.34,4.3,2.68
19894,19895,2.25,Very Good,J,SI2,60.6,63.0,8442,8.45,8.38,5.1
44651,44652,0.28,Ideal,G,VVS1,62.7,55.0,522,4.16,4.2,2.62
51345,51346,0.71,Premium,H,VS2,61.3,59.0,2363,5.74,5.77,3.53
10009,10010,1.01,Very Good,G,SI1,62.4,60.0,4707,6.34,6.39,3.97
4795,4796,1.2,Fair,H,SI2,65.6,57.0,3696,6.73,6.57,4.36
37857,37858,0.44,Premium,E,VS2,60.4,58.0,1003,4.87,4.93,2.96
32355,32356,0.3,Premium,G,VVS1,60.7,59.0,789,4.33,4.37,2.64
43603,43604,0.31,Good,E,SI1,63.4,55.0,507,4.26,4.29,2.71
35843,35844,0.4,Premium,G,VVS2,61.3,59.0,917,4.74,4.78,2.92
33613,33614,0.31,Very Good,G,SI1,60.4,58.0,462,4.39,4.42,2.66
29509,29510,0.32,Premium,E,VS2,60.5,59.0,702,4.39,4.43,2.67
20356,20357,1.51,Ideal,I,SI1,61.2,58.0,8752,7.35,7.4,4.51
17431,17432,1.5,Very Good,J,SI1,62.7,58.0,6987,7.22,7.26,4.54
50883,50884,0.76,Very Good,I,SI1,57.5,62.0,2316,6.03,6.08,3.48
4928,4929,0.97,Ideal,H,SI2,60.7,55.0,3729,6.47,6.41,3.91
34538,34539,0.35,Ideal,G,VVS1,60.7,56.0,868,4.58,4.6,2.79
34471,34472,0.38,Very Good,E,VS2,59.2,60.0,866,4.73,4.77,2.81
17617,17618,1.01,Very Good,E,VS1,60.9,55.0,7094,6.48,6.58,3.98
39398,39399,0.41,Ideal,G,VVS2,60.4,56.0,1076,4.83,4.8,2.91
3177,3178,0.71,Very Good,E,VVS2,63.4,58.0,3340,5.64,5.69,3.59
48583,48584,0.54,Ideal,D,VS2,61.8,57.0,1993,5.26,5.22,3.24
9553,9554,1.1,Premium,I,SI1,62.0,59.0,4620,6.59,6.54,4.07
17089,17090,1.2,Ideal,H,VS1,62.5,57.0,6814,6.81,6.73,4.23
8505,8506,1.35,Ideal,J,SI1,61.0,55.0,4423,7.17,7.09,4.35
31817,31818,0.36,Ideal,F,VS1,60.7,59.0,775,4.59,4.61,2.79
1391,1392,0.24,Ideal,G,VVS1,62.0,56.0,559,3.97,4.01,2.47
44569,44570,0.57,Premium,J,VS1,62.2,58.0,1606,5.34,5.3,3.31
3641,3642,0.79,Good,F,VS1,57.7,58.0,3436,6.06,6.14,3.52
51531,51532,0.71,Premium,G,SI1,61.3,57.0,2386,5.74,5.72,3.51
31856,31857,0.3,Ideal,H,VVS2,61.7,54.0,776,4.34,4.31,2.67
18234,18235,1.13,Ideal,G,VS1,61.7,54.0,7404,6.77,6.71,4.16
24185,24186,2.31,Very Good,J,SI2,60.7,63.0,12369,8.52,8.48,5.16
12743,12744,1.19,Ideal,H,SI1,62.3,55.0,5318,6.84,6.8,4.25
27063,27064,2.01,Premium,E,SI2,62.0,61.0,17179,8.1,8.04,5.0
46319,46320,0.3,Ideal,H,VS1,61.4,54.0,526,4.33,4.37,2.67
50503,50504,0.71,Ideal,I,VS2,62.1,57.0,2270,5.72,5.64,3.53
41039,41040,0.41,Ideal,E,VVS2,60.9,56.0,1187,4.75,4.81,2.91
29034,29035,0.31,Ideal,H,VVS1,61.4,54.0,687,4.4,4.43,2.71
32132,32133,0.41,Premium,F,SI2,60.9,58.0,784,4.82,4.8,2.93
39235,39236,0.32,Ideal,D,VVS1,61.8,56.0,1067,4.39,4.41,2.72
46668,46669,0.71,Good,I,SI1,62.6,63.0,1788,5.54,5.61,3.49
24746,24747,1.71,Premium,I,VS1,60.7,60.0,13097,7.74,7.71,4.69
20702,20703,0.31,Ideal,G,VS1,61.0,55.0,625,4.39,4.43,2.69
51186,51187,0.79,Very Good,H,SI2,63.2,55.0,2348,5.93,5.9,3.74
39197,39198,0.43,Ideal,D,SI1,61.5,56.0,1064,4.87,4.82,2.98
8296,8297,1.13,Ideal,I,SI2,61.7,57.0,4385,6.7,6.59,4.13
30240,30241,0.4,Good,F,VS2,64.1,56.0,723,4.65,4.71,3.0
49208,49209,0.55,Ideal,E,VS1,62.2,55.0,2079,5.26,5.22,3.26
45223,45224,0.52,Ideal,E,SI1,60.7,55.0,1656,5.23,5.22,3.18
26221,26222,1.53,Good,F,VS1,60.8,61.0,15619,7.31,7.39,4.47
17077,17078,1.06,Ideal,G,VS2,61.3,57.0,6809,6.56,6.58,4.03
41994,41995,0.43,Premium,G,VVS1,61.3,57.0,1264,4.87,4.85,2.98
46,47,0.32,Very Good,H,SI2,61.8,55.0,403,4.35,4.42,2.71
30146,30147,0.32,Premium,E,SI1,60.2,60.0,720,4.44,4.39,2.66
3631,3632,0.71,Ideal,G,VS1,61.7,57.0,3431,5.7,5.75,3.53
46574,46575,0.56,Ideal,E,SI1,62.8,58.0,1784,5.31,5.26,3.32
36415,36416,0.31,Premium,E,VS1,61.9,58.0,942,4.32,4.31,2.67
35336,35337,0.32,Ideal,G,IF,61.7,57.0,898,4.39,4.42,2.72
35577,35578,0.35,Premium,F,VS2,62.0,59.0,906,4.55,4.51,2.81
4180,4181,0.83,Premium,D,SI1,59.7,59.0,3556,6.14,6.12,3.66
35897,35898,0.32,Ideal,G,IF,61.2,55.0,918,4.41,4.44,2.71
28626,28627,0.23,Very Good,H,VVS1,61.6,56.0,434,3.94,3.97,2.43
19417,19418,1.17,Ideal,F,VS2,61.8,55.0,8072,6.81,6.74,4.19
22446,22447,1.39,Very Good,G,VS2,62.6,56.0,10476,7.08,7.11,4.44
40604,40605,0.24,Ideal,G,VVS2,61.2,56.0,498,3.99,4.02,2.45
4954,4955,1.01,Premium,J,SI2,61.2,59.0,3733,6.43,6.37,3.92
48349,48350,0.54,Ideal,G,VVS2,62.4,53.4,1962,5.22,5.25,3.26
23322,23323,1.58,Ideal,H,VS2,62.7,56.0,11365,7.44,7.39,4.65
49526,49527,0.71,Very Good,D,SI2,59.7,60.0,2123,5.79,5.84,3.47
46602,46603,0.54,Premium,D,SI1,60.4,60.0,1786,5.24,5.22,3.16
3131,3132,0.73,Ideal,E,VS1,62.8,57.0,3327,5.75,5.78,3.62
50632,50633,0.23,Very Good,E,VS2,60.5,58.0,402,3.92,3.95,2.38
31291,31292,0.32,Ideal,D,VS2,61.0,56.0,758,4.42,4.46,2.71
46460,46461,0.6,Ideal,D,SI1,61.1,57.0,1774,5.39,5.51,3.33
17437,17438,1.0,Ideal,E,VS2,61.5,55.0,6989,6.47,6.44,3.97
51881,51882,0.7,Very Good,H,VS2,62.8,58.0,2429,5.67,5.7,3.57
21134,21135,1.0,Ideal,G,VVS2,61.1,58.0,9294,6.43,6.47,3.94
15082,15083,1.02,Very Good,G,VS2,63.0,57.0,6062,6.37,6.39,4.02
18502,18503,1.02,Premium,F,VS1,60.8,59.0,7539,6.46,6.49,3.94
51172,51173,0.73,Premium,F,SI1,59.3,61.0,2346,5.85,5.82,3.46
19460,19461,1.31,Premium,H,VS2,61.0,58.0,8106,7.1,7.06,4.32
14108,14109,1.2,Ideal,J,VS1,61.0,57.0,5722,6.81,6.89,4.18
25411,25412,1.7,Very Good,H,VS1,62.8,57.0,14137,7.47,7.57,4.72
28700,28701,0.3,Very Good,G,VVS1,61.9,55.0,680,4.31,4.32,2.67
2776,2777,0.78,Good,D,SI1,60.1,61.0,3253,5.92,5.89,3.55
24582,24583,2.02,Ideal,J,SI1,62.7,54.2,12884,8.03,8.08,5.05
4313,4314,1.07,Ideal,G,SI2,60.8,57.0,3595,6.62,6.6,4.02
252,253,0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38
47428,47429,0.54,Ideal,G,VVS2,60.8,56.0,1852,5.28,5.31,3.22
29157,29158,0.38,Ideal,E,SI1,61.8,53.8,693,4.63,4.67,2.88
28463,28464,0.32,Very Good,H,VVS1,61.7,56.0,672,4.4,4.43,2.72
6723,6724,0.27,Ideal,F,VS2,60.9,57.0,577,4.17,4.2,2.55
31984,31985,0.3,Ideal,F,VS2,62.8,55.0,776,4.33,4.27,2.7
29495,29496,0.32,Ideal,E,VS2,62.3,54.0,702,4.37,4.4,2.73
24643,24644,1.53,Ideal,D,SI1,61.4,58.0,12981,7.35,7.44,4.54
1866,1867,0.85,Very Good,I,VS2,60.0,57.0,3070,6.1,6.16,3.68
34762,34763,0.41,Premium,E,SI2,60.0,59.0,876,4.82,4.78,2.88
1056,1057,0.25,Premium,E,VS1,61.5,60.0,558,4.04,4.02,2.48
5582,5583,1.12,Ideal,E,SI2,60.9,57.0,3864,6.66,6.6,4.04
34338,34339,0.3,Ideal,E,VVS1,62.5,57.0,862,4.27,4.3,2.68
20216,20217,1.5,Premium,D,SI2,61.9,58.0,8649,7.34,7.27,4.52
40424,40425,0.43,Ideal,E,VVS2,60.8,57.0,1135,4.9,4.87,2.97
53934,53935,0.72,Premium,D,SI1,62.7,59.0,2757,5.69,5.73,3.58
31402,31403,0.3,Ideal,G,VVS1,62.0,58.0,764,4.27,4.31,2.66
13385,13386,0.37,Ideal,J,IF,61.9,54.0,601,4.63,4.68,2.88
4992,4993,0.9,Good,D,SI2,63.8,58.0,3740,6.13,6.09,3.9
38484,38485,0.42,Ideal,G,VVS2,60.7,55.0,1031,4.86,4.89,2.96
10503,10504,1.02,Ideal,E,SI2,62.1,55.0,4798,6.51,6.4,4.01
36927,36928,0.41,Premium,G,VS1,61.5,58.0,961,4.8,4.76,2.94
11408,11409,1.11,Very Good,G,SI1,60.3,60.0,5000,6.62,6.67,4.01
3240,3241,0.71,Very Good,F,VVS2,62.1,60.0,3354,5.69,5.72,3.54
1475,1476,1.0,Premium,G,I1,62.5,62.0,2984,6.42,6.35,3.99
19205,19206,1.51,Very Good,J,VS1,63.7,55.0,7953,7.16,7.28,4.6
48729,48730,0.52,Ideal,G,VVS2,61.9,55.0,2012,5.16,5.14,3.19
29564,29565,0.41,Good,F,SI1,63.4,57.0,705,4.73,4.74,3.0
48830,48831,0.7,Good,H,SI1,63.3,60.0,2029,5.57,5.65,3.55
40070,40071,0.43,Premium,G,VS2,61.1,59.0,1113,4.86,4.83,2.96
46693,46694,0.56,Ideal,E,VS1,60.8,55.0,1791,5.37,5.32,3.25
3072,3073,0.84,Good,G,VS2,63.6,59.0,3312,5.94,5.89,3.76
51205,51206,0.73,Ideal,G,SI1,62.1,54.0,2351,5.81,5.76,3.59
36578,36579,0.4,Premium,F,SI1,62.0,56.0,945,4.77,4.72,2.94
35165,35166,0.43,Ideal,H,SI1,60.7,54.0,891,4.96,4.92,3.0
22876,22877,1.26,Ideal,G,VVS1,62.1,57.0,10916,7.01,6.91,4.32
23173,23174,1.5,Premium,G,VS2,59.9,58.0,11189,7.38,7.34,4.41
50139,50140,0.71,Good,I,VS2,64.3,63.0,2214,5.63,5.56,3.6
4523,4524,1.03,Ideal,F,I1,61.0,56.0,3634,6.58,6.52,3.99
52029,52030,0.71,Very Good,I,VVS2,61.5,58.0,2448,5.73,5.81,3.55
13656,13657,1.32,Premium,I,SI2,61.3,59.0,5588,7.01,6.95,4.28
47889,47890,0.52,Very Good,G,VVS1,60.9,56.0,1913,5.18,5.24,3.17
4339,4340,0.9,Good,H,VS2,64.0,57.0,3601,6.11,6.14,3.92
2183,2184,1.0,Fair,E,SI2,67.0,53.0,3136,6.19,6.13,4.13
9769,9770,1.11,Ideal,H,SI2,62.7,57.0,4662,6.66,6.59,4.14
2323,2324,1.01,Very Good,H,I1,63.2,58.0,3167,6.39,6.33,4.02
23415,23416,1.5,Ideal,F,SI1,62.0,53.0,11405,7.32,7.29,4.53
13271,13272,1.0,Fair,G,VS2,63.7,55.0,5484,6.28,6.21,3.98
47476,47477,0.61,Very Good,G,VS2,62.0,57.0,1861,5.44,5.47,3.38
6519,6520,0.91,Very Good,H,VS1,61.7,56.0,4066,6.22,6.25,3.85
18948,18949,1.01,Ideal,D,VS2,62.7,57.0,7792,6.39,6.36,4.0
25359,25360,0.31,Very Good,G,VVS1,61.9,55.0,642,4.36,4.4,2.71
24210,24211,2.14,Ideal,H,SI2,61.9,57.0,12400,8.34,8.28,5.14
